Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3631365,EXP1_COL01_ROW24,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439713,SRX5439713,Kemal Marc Akat,8-Mar-19
GSM3631366,EXP1_COL01_ROW26,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439714,SRX5439714,Kemal Marc Akat,8-Mar-19
GSM3631367,EXP1_COL01_ROW28,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439715,SRX5439715,Kemal Marc Akat,8-Mar-19
GSM3631368,EXP1_COL01_ROW36,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439716,SRX5439716,Kemal Marc Akat,8-Mar-19
GSM3631369,EXP1_COL01_ROW38,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439717,SRX5439717,Kemal Marc Akat,8-Mar-19
GSM3631370,EXP1_COL01_ROW39,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439718,SRX5439718,Kemal Marc Akat,8-Mar-19
GSM3631371,EXP1_COL02_ROW02,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439719,SRX5439719,Kemal Marc Akat,8-Mar-19
GSM3631372,EXP1_COL02_ROW03,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439720,SRX5439720,Kemal Marc Akat,8-Mar-19
GSM3631373,EXP1_COL02_ROW04,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439721,SRX5439721,Kemal Marc Akat,8-Mar-19
GSM3631374,EXP1_COL02_ROW05,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439722,SRX5439722,Kemal Marc Akat,8-Mar-19
GSM3631375,EXP1_COL02_ROW06,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439723,SRX5439723,Kemal Marc Akat,8-Mar-19
GSM3631376,EXP1_COL02_ROW07,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439724,SRX5439724,Kemal Marc Akat,8-Mar-19
GSM3631377,EXP1_COL02_ROW08,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439725,SRX5439725,Kemal Marc Akat,8-Mar-19
GSM3631378,EXP1_COL02_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439726,SRX5439726,Kemal Marc Akat,8-Mar-19
GSM3631379,EXP1_COL02_ROW10,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439727,SRX5439727,Kemal Marc Akat,8-Mar-19
GSM3631380,EXP1_COL02_ROW14,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439728,SRX5439728,Kemal Marc Akat,8-Mar-19
GSM3631381,EXP1_COL02_ROW16,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439729,SRX5439729,Kemal Marc Akat,8-Mar-19
GSM3631382,EXP1_COL02_ROW19,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439730,SRX5439730,Kemal Marc Akat,8-Mar-19
GSM3631383,EXP1_COL02_ROW20,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439731,SRX5439731,Kemal Marc Akat,8-Mar-19
GSM3631384,EXP1_COL02_ROW21,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439732,SRX5439732,Kemal Marc Akat,8-Mar-19
GSM3631385,EXP1_COL02_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439733,SRX5439733,Kemal Marc Akat,8-Mar-19
GSM3631386,EXP1_COL02_ROW24,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439734,SRX5439734,Kemal Marc Akat,8-Mar-19
GSM3631387,EXP1_COL02_ROW25,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439735,SRX5439735,Kemal Marc Akat,8-Mar-19
GSM3631388,EXP1_COL02_ROW26,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439736,SRX5439736,Kemal Marc Akat,8-Mar-19
GSM3631389,EXP1_COL02_ROW30,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439737,SRX5439737,Kemal Marc Akat,8-Mar-19
GSM3631390,EXP1_COL02_ROW32,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439738,SRX5439738,Kemal Marc Akat,8-Mar-19
GSM3631391,EXP1_COL02_ROW33,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439739,SRX5439739,Kemal Marc Akat,8-Mar-19
GSM3631392,EXP1_COL02_ROW34,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439740,SRX5439740,Kemal Marc Akat,8-Mar-19
GSM3631393,EXP1_COL02_ROW36,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439741,SRX5439741,Kemal Marc Akat,8-Mar-19
GSM3631394,EXP1_COL02_ROW38,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439742,SRX5439742,Kemal Marc Akat,8-Mar-19
GSM3631395,EXP1_COL02_ROW39,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439743,SRX5439743,Kemal Marc Akat,8-Mar-19
GSM3631396,EXP1_COL02_ROW40,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439744,SRX5439744,Kemal Marc Akat,8-Mar-19
GSM3631397,EXP1_COL03_ROW03,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439745,SRX5439745,Kemal Marc Akat,8-Mar-19
GSM3631398,EXP1_COL03_ROW04,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439746,SRX5439746,Kemal Marc Akat,8-Mar-19
GSM3631399,EXP1_COL03_ROW05,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439747,SRX5439747,Kemal Marc Akat,8-Mar-19
GSM3631400,EXP1_COL03_ROW06,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439748,SRX5439748,Kemal Marc Akat,8-Mar-19
GSM3631401,EXP1_COL03_ROW08,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439749,SRX5439749,Kemal Marc Akat,8-Mar-19
GSM3631402,EXP1_COL03_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439750,SRX5439750,Kemal Marc Akat,8-Mar-19
GSM3631403,EXP1_COL03_ROW11,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439751,SRX5439751,Kemal Marc Akat,8-Mar-19
GSM3631404,EXP1_COL03_ROW13,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439752,SRX5439752,Kemal Marc Akat,8-Mar-19
GSM3631405,EXP1_COL03_ROW14,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439753,SRX5439753,Kemal Marc Akat,8-Mar-19
GSM3631406,EXP1_COL03_ROW15,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439754,SRX5439754,Kemal Marc Akat,8-Mar-19
GSM3631407,EXP1_COL03_ROW20,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439755,SRX5439755,Kemal Marc Akat,8-Mar-19
GSM3631408,EXP1_COL03_ROW22,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439756,SRX5439756,Kemal Marc Akat,8-Mar-19
GSM3631409,EXP1_COL03_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439757,SRX5439757,Kemal Marc Akat,8-Mar-19
GSM3631410,EXP1_COL03_ROW25,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439758,SRX5439758,Kemal Marc Akat,8-Mar-19
GSM3631411,EXP1_COL03_ROW27,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439759,SRX5439759,Kemal Marc Akat,8-Mar-19
GSM3631412,EXP1_COL03_ROW29,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439760,SRX5439760,Kemal Marc Akat,8-Mar-19
GSM3631413,EXP1_COL03_ROW31,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439761,SRX5439761,Kemal Marc Akat,8-Mar-19
GSM3631414,EXP1_COL03_ROW32,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439762,SRX5439762,Kemal Marc Akat,8-Mar-19
GSM3631415,EXP1_COL03_ROW33,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439763,SRX5439763,Kemal Marc Akat,8-Mar-19
GSM3631416,EXP1_COL03_ROW34,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439764,SRX5439764,Kemal Marc Akat,8-Mar-19
GSM3631417,EXP1_COL03_ROW35,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439765,SRX5439765,Kemal Marc Akat,8-Mar-19
GSM3631418,EXP1_COL03_ROW36,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439766,SRX5439766,Kemal Marc Akat,8-Mar-19
GSM3631419,EXP1_COL03_ROW37,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439767,SRX5439767,Kemal Marc Akat,8-Mar-19
GSM3631420,EXP1_COL03_ROW38,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439768,SRX5439768,Kemal Marc Akat,8-Mar-19
GSM3631421,EXP1_COL03_ROW40,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439769,SRX5439769,Kemal Marc Akat,8-Mar-19
GSM3631422,EXP1_COL04_ROW02,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439770,SRX5439770,Kemal Marc Akat,8-Mar-19
GSM3631423,EXP1_COL04_ROW04,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439771,SRX5439771,Kemal Marc Akat,8-Mar-19
GSM3631424,EXP1_COL04_ROW05,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439772,SRX5439772,Kemal Marc Akat,8-Mar-19
GSM3631425,EXP1_COL04_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439773,SRX5439773,Kemal Marc Akat,8-Mar-19
GSM3631426,EXP1_COL04_ROW10,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439774,SRX5439774,Kemal Marc Akat,8-Mar-19
GSM3631427,EXP1_COL04_ROW11,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439775,SRX5439775,Kemal Marc Akat,8-Mar-19
GSM3631428,EXP1_COL04_ROW12,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439776,SRX5439776,Kemal Marc Akat,8-Mar-19
GSM3631429,EXP1_COL04_ROW13,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439777,SRX5439777,Kemal Marc Akat,8-Mar-19
GSM3631430,EXP1_COL04_ROW14,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439778,SRX5439778,Kemal Marc Akat,8-Mar-19
GSM3631431,EXP1_COL04_ROW15,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439779,SRX5439779,Kemal Marc Akat,8-Mar-19
GSM3631432,EXP1_COL04_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439780,SRX5439780,Kemal Marc Akat,8-Mar-19
GSM3631433,EXP1_COL04_ROW18,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439781,SRX5439781,Kemal Marc Akat,8-Mar-19
GSM3631434,EXP1_COL04_ROW20,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439782,SRX5439782,Kemal Marc Akat,8-Mar-19
GSM3631435,EXP1_COL04_ROW21,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439783,SRX5439783,Kemal Marc Akat,8-Mar-19
GSM3631436,EXP1_COL04_ROW22,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439784,SRX5439784,Kemal Marc Akat,8-Mar-19
GSM3631437,EXP1_COL04_ROW27,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439785,SRX5439785,Kemal Marc Akat,8-Mar-19
GSM3631438,EXP1_COL04_ROW29,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439786,SRX5439786,Kemal Marc Akat,8-Mar-19
GSM3631439,EXP1_COL04_ROW33,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439787,SRX5439787,Kemal Marc Akat,8-Mar-19
GSM3631440,EXP1_COL04_ROW35,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439788,SRX5439788,Kemal Marc Akat,8-Mar-19
GSM3631441,EXP1_COL05_ROW01,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439789,SRX5439789,Kemal Marc Akat,8-Mar-19
GSM3631442,EXP1_COL05_ROW03,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439790,SRX5439790,Kemal Marc Akat,8-Mar-19
GSM3631443,EXP1_COL05_ROW04,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439791,SRX5439791,Kemal Marc Akat,8-Mar-19
GSM3631444,EXP1_COL05_ROW07,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439792,SRX5439792,Kemal Marc Akat,8-Mar-19
GSM3631445,EXP1_COL05_ROW09,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439793,SRX5439793,Kemal Marc Akat,8-Mar-19
GSM3631446,EXP1_COL05_ROW10,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439794,SRX5439794,Kemal Marc Akat,8-Mar-19
GSM3631447,EXP1_COL05_ROW12,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439795,SRX5439795,Kemal Marc Akat,8-Mar-19
GSM3631448,EXP1_COL05_ROW13,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439796,SRX5439796,Kemal Marc Akat,8-Mar-19
GSM3631449,EXP1_COL05_ROW15,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439797,SRX5439797,Kemal Marc Akat,8-Mar-19
GSM3631450,EXP1_COL05_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439798,SRX5439798,Kemal Marc Akat,8-Mar-19
GSM3631451,EXP1_COL05_ROW18,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439799,SRX5439799,Kemal Marc Akat,8-Mar-19
GSM3631452,EXP1_COL05_ROW20,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439800,SRX5439800,Kemal Marc Akat,8-Mar-19
GSM3631453,EXP1_COL05_ROW22,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439801,SRX5439801,Kemal Marc Akat,8-Mar-19
GSM3631454,EXP1_COL05_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439802,SRX5439802,Kemal Marc Akat,8-Mar-19
GSM3631455,EXP1_COL05_ROW35,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439803,SRX5439803,Kemal Marc Akat,8-Mar-19
GSM3631456,EXP1_COL05_ROW36,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439804,SRX5439804,Kemal Marc Akat,8-Mar-19
GSM3631457,EXP1_COL05_ROW39,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439805,SRX5439805,Kemal Marc Akat,8-Mar-19
GSM3631458,EXP1_COL06_ROW02,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439806,SRX5439806,Kemal Marc Akat,8-Mar-19
GSM3631459,EXP1_COL06_ROW03,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439807,SRX5439807,Kemal Marc Akat,8-Mar-19
GSM3631460,EXP1_COL06_ROW04,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439808,SRX5439808,Kemal Marc Akat,8-Mar-19
GSM3631461,EXP1_COL06_ROW05,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439809,SRX5439809,Kemal Marc Akat,8-Mar-19
GSM3631462,EXP1_COL06_ROW06,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439810,SRX5439810,Kemal Marc Akat,8-Mar-19
GSM3631463,EXP1_COL06_ROW07,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439811,SRX5439811,Kemal Marc Akat,8-Mar-19
GSM3631464,EXP1_COL06_ROW11,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439812,SRX5439812,Kemal Marc Akat,8-Mar-19
GSM3631465,EXP1_COL06_ROW12,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439813,SRX5439813,Kemal Marc Akat,8-Mar-19
GSM3631466,EXP1_COL06_ROW13,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439814,SRX5439814,Kemal Marc Akat,8-Mar-19
GSM3631467,EXP1_COL06_ROW14,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439815,SRX5439815,Kemal Marc Akat,8-Mar-19
GSM3631468,EXP1_COL06_ROW15,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439816,SRX5439816,Kemal Marc Akat,8-Mar-19
GSM3631469,EXP1_COL06_ROW17,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439817,SRX5439817,Kemal Marc Akat,8-Mar-19
GSM3631470,EXP1_COL06_ROW22,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439818,SRX5439818,Kemal Marc Akat,8-Mar-19
GSM3631471,EXP1_COL06_ROW23,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439819,SRX5439819,Kemal Marc Akat,8-Mar-19
GSM3631472,EXP1_COL06_ROW24,SRA,Mus musculus,1,GPL19057,GSE127235,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX5439820,SRX5439820,Kemal Marc Akat,8-Mar-19
